He,O,N2,O2,Ar,Tn,alt_km,lat,lon
2000504400000000.0,3257613200000000.0,2.899476e+20,7.576206e+19,3.4400514e+18,197.08,80.0,-31.17,-70.81
1846781700000000.0,4574975000000000.0,2.6704474e+20,6.9687249e+19,3.1661523e+18,196.67,80.5,-31.17,-70.81
1704670900000000.0,6340022400000000.0,2.4587307e+20,6.4074929e+19,2.9129675e+18,196.31,81.0,-31.17,-70.81
1573352400000000.0,8668509400000000.0,2.2631053e+20,5.8892332e+19,2.6790362e+18,195.98,81.5,-31.17,-70.81
1452065400000000.0,1.1692728e+16,2.0824379e+20,5.4109078e+19,2.4630039e+18,195.68,82.0,-31.17,-70.81
1340095600000000.0,1.5559507e+16,1.915665e+20,4.9696699e+19,2.2635992e+18,195.43,82.5,-31.17,-70.81
1236770900000000.0,2.0426658e+16,1.7617851e+20,4.5628299e+19,2.0796229e+18,195.21,83.0,-31.17,-70.81
1141461800000000.0,2.6457847e+16,1.6198618e+20,4.1878815e+19,1.9099559e+18,195.02,83.5,-31.17,-70.81
1053583800000000.0,3.381612e+16,1.4890237e+20,3.842491e+19,1.7535572e+18,194.88,84.0,-31.17,-70.81
972588500000000.0,4.2655639e+16,1.3684536e+20,3.5244683e+19,1.6094485e+18,194.77,84.5,-31.17,-70.81
897965250000000.0,5.3113288e+16,1.2573916e+20,3.2317783e+19,1.4767212e+18,194.7,85.0,-31.17,-70.81
829234910000000.0,6.5299051e+16,1.1551243e+20,2.962512e+19,1.354523e+18,194.68,85.5,-31.17,-70.81
765953860000000.0,7.9287407e+16,1.0609911e+20,2.7149005e+19,1.2420636e+18,194.69,86.0,-31.17,-70.81
707708940000000.0,9.510968e+16,9.7437647e+19,2.4872976e+19,1.1386074e+18,194.74,86.5,-31.17,-70.81
654114260000000.0,1.127472e+17,8.9470621e+19,2.2781663e+19,1.0434674e+18,194.83,87.0,-31.17,-70.81
604811860000000.0,1.3212751e+17,8.2144778e+19,2.0860827e+19,9.5600763e+17,194.97,87.5,-31.17,-70.81
559468820000000.0,1.5312283e+17,7.5410524e+19,1.9097202e+19,8.7563422e+17,195.14,88.0,-31.17,-70.81
517777030000000.0,1.7555181e+17,6.922198e+19,1.7478526e+19,8.0180009e+17,195.37,88.5,-31.17,-70.81
479449410000000.0,1.9918261e+17,6.3536476e+19,1.5993397e+19,7.3399438e+17,195.63,89.0,-31.17,-70.81
444220480000000.0,2.2374012e+17,5.831446e+19,1.4631254e+19,6.7174436e+17,195.94,89.5,-31.17,-70.81
411843840000000.0,2.4891447e+17,5.35193e+19,1.3382309e+19,6.146125e+17,196.3,90.0,-31.17,-70.81
382094220000000.0,2.7437309e+17,4.9117441e+19,1.2237595e+19,5.621973e+17,196.71,90.5,-31.17,-70.81
354769160000000.0,2.9977786e+17,4.5078666e+19,1.118904e+19,5.1413751e+17,197.16,91.0,-31.17,-70.81
329680110000000.0,3.2479116e+17,4.1374807e+19,1.0229095e+19,4.7009572e+17,197.64,91.5,-31.17,-70.81
306650830000000.0,3.4908804e+17,3.7979529e+19,9.3507197e+18,4.2975659e+17,198.16,92.0,-31.17,-70.81
285517140000000.0,3.7236439e+17,3.4868249e+19,8.5473494e+18,3.9282589e+17,198.7,92.5,-31.17,-70.81
266125520000000.0,3.9434486e+17,3.2018023e+19,7.8128608e+18,3.5902906e+17,199.26,93.0,-31.17,-70.81
248333470000000.0,4.1479028e+17,2.9407545e+19,7.1415655e+18,3.2811052e+17,199.84,93.5,-31.17,-70.81
