ALO Lidar Data on 20190701

UT (hour) for each column
  23.4000   23.5000   23.6000   23.7000   23.8000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  6.0359e+02   6.5359e+02   6.3869e+02   5.0943e+02   4.5300e+02 
  9.8089e+02   9.8288e+02   8.9915e+02   7.6535e+02   6.7449e+02 
  2.1001e+03   1.7258e+03   1.2478e+03   9.3861e+02   8.4524e+02 
  3.9918e+03   3.3646e+03   2.4376e+03   1.4455e+03   1.1811e+03 
  5.2179e+03   4.8261e+03   4.0634e+03   2.9228e+03   2.6102e+03 
  5.4165e+03   5.2990e+03   4.9299e+03   4.2738e+03   4.0475e+03 
  5.2327e+03   5.2356e+03   5.0223e+03   4.6174e+03   4.3870e+03 
  5.0501e+03   5.0191e+03   4.8614e+03   4.4576e+03   4.1551e+03 
  4.9890e+03   4.8066e+03   4.6756e+03   4.3224e+03   3.9233e+03 
  5.0799e+03   4.7566e+03   4.5514e+03   4.2255e+03   3.8839e+03 
  5.1502e+03   4.8691e+03   4.5657e+03   4.1738e+03   3.9757e+03 
  5.1065e+03   4.9559e+03   4.6159e+03   4.2625e+03   4.2735e+03 
  4.9995e+03   4.8768e+03   4.6341e+03   4.3894e+03   4.4741e+03 
  4.9244e+03   4.8172e+03   4.5760e+03   4.4603e+03   4.5046e+03 
  4.8503e+03   4.7752e+03   4.4746e+03   4.4236e+03   4.4495e+03 
  4.7419e+03   4.6516e+03   4.4093e+03   4.3082e+03   4.3393e+03 
  4.6720e+03   4.6128e+03   4.4018e+03   4.2468e+03   4.2304e+03 
  4.6120e+03   4.5677e+03   4.3899e+03   4.2351e+03   4.1464e+03 
  4.7145e+03   4.5229e+03   4.2252e+03   4.1321e+03   4.1576e+03 
  4.9355e+03   4.5671e+03   4.1037e+03   4.0655e+03   4.4496e+03 
  5.4790e+03   4.8370e+03   4.2902e+03   4.3023e+03   4.9543e+03 
  6.4239e+03   5.4451e+03   4.7950e+03   4.8244e+03   5.5349e+03 
  7.2640e+03   6.5189e+03   5.6000e+03   5.4262e+03   6.0012e+03 
  7.4321e+03   7.2540e+03   6.3622e+03   5.9895e+03   6.2192e+03 
  7.0092e+03   6.9830e+03   6.5070e+03   6.2319e+03   6.1661e+03 
  6.5735e+03   6.4822e+03   6.1430e+03   6.0046e+03   5.9653e+03 
  6.2093e+03   6.1604e+03   5.8345e+03   5.7068e+03   5.7160e+03 
  5.8955e+03   5.7903e+03   5.5696e+03   5.4823e+03   5.4533e+03 
  5.6663e+03   5.4896e+03   5.2256e+03   5.1183e+03   5.1071e+03 
  5.5264e+03   5.3876e+03   4.9126e+03   4.6792e+03   4.6990e+03 
  5.3322e+03   5.2030e+03   4.6521e+03   4.3871e+03   4.3958e+03 
  4.9577e+03   4.8514e+03   4.4213e+03   4.2334e+03   4.1741e+03 
  4.4773e+03   4.3911e+03   4.1534e+03   4.0126e+03   3.9268e+03 
  3.8859e+03   3.7359e+03   3.7029e+03   3.5703e+03   3.5503e+03 
  3.2074e+03   3.0660e+03   3.1112e+03   2.9889e+03   3.0737e+03 
  2.7221e+03   2.6289e+03   2.6294e+03   2.4823e+03   2.6177e+03 
  2.4255e+03   2.3072e+03   2.2482e+03   2.0534e+03   2.2334e+03 
  2.1879e+03   2.0214e+03   1.8697e+03   1.6779e+03   1.8915e+03 
  1.9418e+03   1.7540e+03   1.5852e+03   1.4296e+03   1.5622e+03 
  1.5721e+03   1.4019e+03   1.3590e+03   1.1752e+03   1.2635e+03 
  1.0995e+03   9.8642e+02   1.0248e+03   9.1001e+02   1.0220e+03 
  7.7785e+02   7.4641e+02   7.5737e+02   7.6047e+02   8.4480e+02 
  6.6599e+02   6.7498e+02   6.5167e+02   6.8156e+02   7.3511e+02 
  6.1544e+02   5.9866e+02   5.8289e+02   5.8820e+02   6.7053e+02 
  5.4819e+02   5.0500e+02   4.9221e+02   5.0617e+02   5.8992e+02 
  4.4852e+02   4.1515e+02   4.0488e+02   4.3048e+02   4.8543e+02 
  3.5279e+02   3.4447e+02   3.3631e+02   3.4157e+02   3.8086e+02 
  2.9399e+02   2.8973e+02   2.7777e+02   2.7789e+02   2.9702e+02 
  2.4586e+02   2.4359e+02   2.3664e+02   2.3014e+02   2.2962e+02 
  2.1368e+02   2.1260e+02   1.8933e+02   1.8080e+02   1.7912e+02 
  1.9025e+02   1.8756e+02   1.5630e+02   1.4906e+02   1.4154e+02 
  1.6246e+02   1.6031e+02   1.3784e+02   1.2482e+02   1.0919e+02 
  1.3992e+02   1.3707e+02   1.1316e+02   9.9135e+01   7.9275e+01 
  1.1583e+02   1.1012e+02   8.5420e+01   7.3138e+01   5.5253e+01 
  8.4317e+01   8.2738e+01   6.0212e+01   4.7982e+01   3.4014e+01 
  5.3318e+01   5.4137e+01   3.9443e+01   3.0095e+01   2.5177e+01 
  2.9207e+01   2.8468e+01   2.5139e+01   1.4709e+01   1.6281e+01 
  2.3401e+01   2.5052e+01   2.7198e+01   1.7641e+01   1.7641e+01 
  2.1552e+01   2.1552e+01  -9.9900e+02   2.1533e+01   2.1533e+01 
  1.4908e+01   1.4908e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02   1.8063e+01   1.8063e+01  -9.9900e+02 
 -9.9900e+02  -9.9900e+02   1.2871e+01   1.2871e+01  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 

Na Density Error (cm^(-3))
  1.0237e+01   1.1018e+01   1.0744e+01   8.1021e+00   7.9622e+00 
  1.3308e+01   1.3645e+01   1.2734e+01   1.0069e+01   9.7858e+00 
  1.9560e+01   1.7920e+01   1.5117e+01   1.1265e+01   1.1045e+01 
  2.7842e+01   2.5537e+01   2.1271e+01   1.3770e+01   1.3064e+01 
  3.2284e+01   3.1624e+01   2.8143e+01   1.9937e+01   1.9420e+01 
  3.3027e+01   3.3631e+01   3.1156e+01   2.5058e+01   2.4909e+01 
  3.2650e+01   3.3609e+01   3.1564e+01   2.6425e+01   2.6118e+01 
  3.2239e+01   3.3009e+01   3.1299e+01   2.6086e+01   2.5546e+01 
  3.2163e+01   3.2414e+01   3.0837e+01   2.5821e+01   2.4867e+01 
  3.2739e+01   3.2400e+01   3.0569e+01   2.5744e+01   2.4882e+01 
  3.3214e+01   3.3020e+01   3.0801e+01   2.5619e+01   2.5446e+01 
  3.3199e+01   3.3492e+01   3.1236e+01   2.5883e+01   2.6679e+01 
  3.2881e+01   3.3454e+01   3.1364e+01   2.6445e+01   2.7417e+01 
  3.2824e+01   3.3553e+01   3.1144e+01   2.6908e+01   2.7547e+01 
  3.2819e+01   3.3554e+01   3.0928e+01   2.6976e+01   2.7414e+01 
  3.2531e+01   3.3194e+01   3.0871e+01   2.6709e+01   2.7209e+01 
  3.2423e+01   3.3146e+01   3.0993e+01   2.6621e+01   2.7001e+01 
  3.2461e+01   3.3143e+01   3.1168e+01   2.6726e+01   2.6792e+01 
  3.3085e+01   3.3411e+01   3.0691e+01   2.6502e+01   2.7132e+01 
  3.4202e+01   3.3910e+01   3.0370e+01   2.6298e+01   2.8616e+01 
  3.6526e+01   3.5038e+01   3.1440e+01   2.7284e+01   3.0661e+01 
  4.0150e+01   3.7404e+01   3.3730e+01   2.9229e+01   3.2710e+01 
  4.2951e+01   4.1426e+01   3.6727e+01   3.1297e+01   3.4199e+01 
  4.3534e+01   4.4199e+01   3.9403e+01   3.3215e+01   3.4887e+01 
  4.2527e+01   4.3653e+01   4.0149e+01   3.4312e+01   3.4945e+01 
  4.1567e+01   4.2477e+01   3.9307e+01   3.3978e+01   3.4668e+01 
  4.0759e+01   4.1758e+01   3.8732e+01   3.3444e+01   3.4244e+01 
  4.0041e+01   4.0850e+01   3.8188e+01   3.3174e+01   3.3646e+01 
  3.9434e+01   4.0135e+01   3.7163e+01   3.2250e+01   3.2690e+01 
  3.9222e+01   3.9949e+01   3.6203e+01   3.0929e+01   3.1458e+01 
  3.8751e+01   3.9443e+01   3.5436e+01   2.9946e+01   3.0493e+01 
  3.7381e+01   3.8041e+01   3.4624e+01   2.9463e+01   2.9814e+01 
  3.5638e+01   3.6226e+01   3.3582e+01   2.8765e+01   2.9019e+01 
