He,O,N2,O2,Ar,Tn,alt_km,lat,lon,hour,potential_temperature
2105985900000000.0,3378109900000000.0,3.0730189e+20,8.029313e+19,3.6468629e+18,195.27,80.0,-31.17,-70.81,2016-10-31 00:00:00,0.0011994133390611382
1945847000000000.0,4749938600000000.0,2.8342613e+20,7.3953319e+19,3.361303e+18,194.44,80.5,-31.17,-70.81,2016-10-31 00:00:00,0.0012536376096800256
1797349100000000.0,6589435500000000.0,2.6128518e+20,6.8077652e+19,3.0964988e+18,193.64,81.0,-31.17,-70.81,2016-10-31 00:00:00,0.0012545065318258443
1659711600000000.0,9017534000000000.0,2.4076284e+20,6.2634916e+19,2.8510628e+18,192.86,81.5,-31.17,-70.81,2016-10-31 00:00:00,0.0013181934478280182
1532211200000000.0,1.2172184e+16,2.2175126e+20,5.7596215e+19,2.6237044e+18,192.12,82.0,-31.17,-70.81,2016-10-31 00:00:00,0.001299900167044927
1414164600000000.0,1.6206022e+16,2.0414887e+20,5.2934272e+19,2.41321e+18,191.41,82.5,-31.17,-70.81,2016-10-31 00:00:00,0.0013779158374026847
1304929300000000.0,2.1282403e+16,1.8785988e+20,4.8623395e+19,2.2184342e+18,190.74,83.0,-31.17,-70.81,2016-10-31 00:00:00,0.0013925458057112254
1203902800000000.0,2.7569734e+16,1.7279473e+20,4.4639534e+19,2.0383057e+18,190.1,83.5,-31.17,-70.81,2016-10-31 00:00:00,0.0014662362999500658
1110518300000000.0,3.5234168e+16,1.5886887e+20,4.0960036e+19,1.8718138e+18,189.49,84.0,-31.17,-70.81,2016-10-31 00:00:00,0.0014211241589965817
1024246400000000.0,4.4430883e+16,1.4600367e+20,3.7563781e+19,1.7180192e+18,188.93,84.5,-31.17,-70.81,2016-10-31 00:00:00,0.001466838957499387
944588940000000.0,5.5294526e+16,1.3412488e+20,3.4430855e+19,1.5760331e+18,188.41,85.0,-31.17,-70.81,2016-10-31 00:00:00,0.0014759287021737979
871077420000000.0,6.7929392e+16,1.2316289e+20,3.1542585e+19,1.4450242e+18,187.92,85.5,-31.17,-70.81,2016-10-31 00:00:00,0.0015506752271866023
803274510000000.0,8.2399798e+16,1.1305254e+20,2.8881516e+19,1.3242135e+18,187.48,86.0,-31.17,-70.81,2016-10-31 00:00:00,0.0015584191403324493
740770590000000.0,9.8722357e+16,1.0373291e+20,2.6431296e+19,1.2128731e+18,187.09,86.5,-31.17,-70.81,2016-10-31 00:00:00,0.001566566998946519
683180580000000.0,1.1685904e+17,9.5146775e+19,2.4176587e+19,1.1103187e+18,186.73,87.0,-31.17,-70.81,2016-10-31 00:00:00,0.0016547700616716212
630146130000000.0,1.3671383e+17,8.7240803e+19,2.2103089e+19,1.0159124e+18,186.43,87.5,-31.17,-70.81,2016-10-31 00:00:00,0.001667981314006192
